Darkness|secretly
Translucent Floor A|translucentのbedA
Translucent Floor B|translucentのbedB
Translucent Floor C|translucentのbedC
Translucent Floor D|translucentのbedD
Stairs A (Translucent)|stageA（translucent）
Stairs B (Translucent)|stageB（translucent）
Wire Mesh|Golden Net
Transparent|transparent
Translucent Floor A|translucentのbedA
Translucent Floor B|translucentのbedB
Translucent Floor C|translucentのbedC
Translucent Floor D|translucentのbedD
Stairs A (Translucent)|stageC（translucent）
Stairs B (Translucent)|stageD（translucent）
Wire Mesh|Golden Net
Ground A (Dirt Cave)|bedA（earth cave）
Ground B (Rock Cave)|bedB（rock cave）
Ground C (Lava Cave)|bedC（lava cave）
Ground D (Ice Cave)|bedD（ice cave）
Ground E (Grass Maze)|bedE（grass maze）
Ground F (Crystal)|bedF（crystal）
Ground G (In Body)|bedG（in vivo）
Ground H (Demonic World)|bedH（Demonic world）
Stairs A (Dirt Cave, Left)|stageA（earth cave・Left）
Stairs A (Dirt Cave, Center)|stageA（earth cave・central）
Stairs A (Dirt Cave, Right)|stageA（earth cave・right）
Stairs A (Dirt Cave)|stageA（earth cave）
Stairs B (Rock Cave, Left)|stageB（rock cave・Left）
Stairs B (Rock Cave, Center)|stageB（rock cave・central）
Stairs B (Rock Cave, Right)|stageB（rock cave・right）
Stairs B (Rock Cave)|stageB（rock cave）
Cobblestones A|stone panA
Cobblestones B|stone panB
Cobblestones C|stone panC
Cobblestones D|stone panD
Cobblestones E|stone panE
Cobblestones F|stone panF
Cobblestones G|stone panG
Interior Floor A (Demon Castle)|Built-in bedA（Demon King's Castle）
Stairs C (Lava Cave, Left)|stageC（lava cave・Left）
Stairs C (Lava Cave, Center)|stageC（lava cave・central）
Stairs C (Lava Cave, Right)|stageC（lava cave・right）
Stairs C (Lava Cave)|stageC（lava cave）
Stairs D (Ice Cave, Left)|stageD（ice cave・Left）
Stairs D (Ice Cave, Center)|stageD（ice cave・central）
Stairs D (Ice Cave, Right)|stageD（ice cave・right）
Stairs D (Ice Cave)|stageD（ice cave）
Cobblestones H|stone panH
Interior Floor B (Concrete)|Built-in bedB（コンクリート）
Icy Ground A|iceのbedA
Interior Floor C (Factory)|Built-in bedC（workshop）
Decorative Tile|Make the bed
Cobblestones I|stone panI
Cobblestones J|stone panJ
Decorative Tile|Makeupタイル
Stairs E (Grass Maze, Left)|stageE（grass maze・Left）
Stairs E (Grass Maze, Center)|stageE（grass maze・central）
Stairs E (Grass Maze, Right)|stageE（grass maze・right）
Stairs E (Grass Maze)|stageE（grass maze）
Stairs F (Crystal, Left)|stageF（crystal・Left）
Stairs F (Crystal, Center)|stageF（crystal・central）
Stairs F (Crystal, Right)|stageF（crystal・right）
Stairs F (Crystal)|stageF（crystal）
Stairs G (In Body, Left)|stageG（in vivo・Left）
Stairs G (In Body, Center)|stageG（in vivo・central）
Stairs G (In Body, Right)|stageG（in vivo・right）
Stairs G (In Body)|stageG（in vivo）
Stairs H (Demonic World, Left)|stageH（Demonic world・Left）
Stairs H (Demonic World, Center)|stageH（Demonic world・central）
Stairs H (Demonic World, Right)|stageH（Demonic world・right）
Stairs H (Demonic World)|stageH（Demonic world）
Stairs I (Stone, Left)|stageI（stone・Left）
Stairs I (Stone, Center)|stageI（stone・central）
Stairs I (Stone, Right)|stageI（stone・right）
Stairs I (Stone)|stageI（stone）
Stairs J (Ruins, Left)|stageJ（Abandoned ruins・Left）
Stairs J (Ruins, Center)|stageJ（Abandoned ruins・central）
Stairs J (Ruins, Right)|stageJ（Abandoned ruins・right）
Stairs J (Ruins)|stageJ（Abandoned ruins）
Stairs K (Stone, Left)|stageK（stone・Left）
Stairs K (Stone, Center)|stageK（stone・central）
Stairs K (Stone, Right)|stageK（stone・right）
Stairs K (Stone)|stageK（stone）
Stairs L (Ruins, Left)|stageL（Abandoned ruins・Left）
Stairs L (Ruins, Center)|stageL（Abandoned ruins・central）
Stairs L (Ruins, Right)|stageL（Abandoned ruins・right）
Stairs L (Ruins)|stageL（Abandoned ruins）
Ground (Dirt Cave, Ruins)|bedA（earth cave・Abandoned ruins）
Ground (Rock Cave, Ruins)|bedB（rock cave・Abandoned ruins）
Ground (Lava Cave, Ruins)|bedC（lava cave・Abandoned ruins）
Ground (Ice Cave, Ruins)|bedD（ice cave・Abandoned ruins）
Ground (Grass Maze, Ruins)|bedE（grass maze・Abandoned ruins）
Ground (Crystal, Ruins)|bedF（crystal・Abandoned ruins）
