Canal A|waterwayA
Deep Canal|deepいwaterway
Lotus Pads (Flowers)|lotusのleaves（flower）
Junk|ゴミ
Pool A (Stone Lined)|water fieldA（stoneの縁）
Waterfall A (Stone Wall)|takiA（stone wall）
Pool B (Wood Lined)|water fieldB（Woodの縁）
Waterfall B (Stone Wall)|takiB（stone wall）
Canal B|waterwayB
Waterfall C (Stone Wall)|takiC（stone wall）
Pool C (Stone Lined)|water fieldC（stoneの縁）
Waterfall D (Stone Wall)|takiD（stone wall）
Bathing Spot|water bathびfield
Waterfall E (Dirt Wall)|takiE（earth wall）
Open Bath|Open-air bath
Waterfall F (Demon Castle)|takiF（Demon King's Castle）
