Wood Floor A|WoodのbedA
Cobblestones A|stone panA
Rug A|じゅうたんA
Straw Mat|ござ
Hole A (Wood Floor)|holeA（Woodのbed）
Raised Stone A|stone sectionA
Ground Cracks|bedのひびcutれ
Table A|テーブルA
Wood Floor B|WoodのbedB
Cobblestones B|stone panB
Rug B|じゅうたんB
Rug C|じゅうたんC
Hole B (Wood Floor)|holeB（Woodのbed）
Raised Stone B|stone sectionB
Soil on Ground|bedのdirtyれ
Table B|テーブルB
Cobblestones C|stone panC
Cobblestones D|stone panD
Rug D|じゅうたんD
Demon Castle Floor|Demon King's Castleのbed
Hole C (Stone Floor)|holeC（stoneのbed）
Raised Stone C|stone sectionC
Moss on Ground|bedのmoss
Table C|テーブルC
Cobblestones E|stone panE
Cobblestones F|stone panF
Rug E|じゅうたんE
Rug F|じゅうたんF
Hole D|holeD
Raised Stone D|stone sectionD
Wire mesh|Golden Net
Table D|テーブルD
