Water A (Meadow)|water fieldA（grassland）
Deep Water|deepいwater field
Lotus Pads|lotusのleaves
Swamp Grass|waterweed
Water B (Snow)|water fieldB（Snow）
Waterfall A (Stone Wall)|takiA（stone wall）
Canal|waterway
Waterfall B (Dirt Wall)|takiB（earth wall）
Water C (Dirt)|water fieldC（earth）
Waterfall C (Cliff)|takiC（cliff）
Water D (Sand)|water field D（sand）
Waterfall D (Boulder)|takiD（jade）
Water E (Port)|water fieldE（port）
Waterfall E (Stone Wall)|takiE（stone wall）
Poison Swamp|poisonのSwamp
Dead Tree|dryれWood
