Meadow|grassland
Dirt (Meadow)|earth（grassland）
Road (Meadow)|road（grassland）
Cobblestones A|stone panA
Bush|Maoみ
Road Edging|縁石
Fencepost A (Wood)|gateA（wooden）
Fissures|ひびcutれ
Dirt|earth
Grass (Dirt)|grassland（earth）
Road (Dirt)|road（earth）
Cobblestones A (Snow)|stone panA（Snow）
Bush (Dead)|Maoみ（dryれGrass）
Road Edging (Snow)|縁石（Snow）
Fencepost B (Metal)|gateB（Metal）
Soil|dirtyれ
Sand|sandy ground
Grass (Sand)|grassland（sandy ground）
Road (Sand)|road（sandy ground）
Cobblestones B|stone panB
Bush (Sand)|Maoみ（sandy ground）
Hole|hole
Fencepost C (Stone)|gateC（stone）
Moss|moss
Snow|Snow
Dirt (Snow)|earth（Snow）
Road (Snow)|road（Snow）
Carpet|カーペット
Bush (Snow)|Maoみ（Snow）
Hole|hole
Fencepost A (Wood, Snow)|gateA（wooden・Snow）
Poison Swamp|poisonのSwamp
