Darkness|secretly
Grid floor|lattice bed
Metal Bridge (V, Left)|metal bridge（Qi・Left）
Metal Bridge (V, Center)|metal bridge（Qi・central）
Metal Bridge (V, Right)|metal bridge（Qi・right）
Asphalt Bridge (H, Top)|アスファルトbridge（horizontal・superior）
Metal Bridge (H, Center)|metal bridge（horizontal・central）
Metal Bridge (H, Top)|metal bridge（horizontal・superior）
Transparent|transparent
Grid floor|lattice bed
Asphalt Bridge (V, Left)|アスファルトbridge（Qi・Left）
Asphalt Bridge (V, Center)|アスファルトbridge（Qi・central）
Asphalt Bridge (V, Right)|アスファルトbridge（Qi・right）
Asphalt Bridge (H, Bottom)|アスファルトbridge（horizontal・Down）
Asphalt Bridge (H, Center)|アスファルトbridge（horizontal・central）
Metal Bridge (H, Bottom)|metal bridge（horizontal・Down）
Asphalt Floor|アスファルトbed
Metal Floor A (Factory)|metal bedA（workshop）
Concrete Floor|コンクリートbed
Concrete Floor (Ruins)|コンクリートbed（Abandoned ruins）
Hole|hole
Grid floor (Ruins)|lattice bed（Abandoned ruins）
Asphalt Floor (Ruins)|アスファルトbed（Abandoned ruins）
Metal Floor A (Factory, Ruins)|metal bedA（workshop・Abandoned ruins）
Asphalt Floor|アスファルトbed
Metal Floor A (Factory)|metal bedA（workshop）
Concrete Floor|コンクリートbed
Interior Floor A (In Body)|Built-in bedA（in vivo）
Stairs A (Asphalt, Left)|stageA（アスファルト・Left）
Stairs A (Asphalt, Center)|stageA（アスファルト・central）
Stairs A (Asphalt, Right)|stageA（アスファルト・right）
Stairs A (Asphalt)|stageA（アスファルト）
Meadow|grassland
Desert|sandy ground
Wood Floor A|WoodのbedA
Wood Floor A (Ruins)|WoodのbedA（Abandoned ruins）
Asphalt Floor (Dirty)|アスファルトbed（dirtyれ）
Asphalt Floor (Dirty, Ruins)|アスファルトbed（dirtyれ・Abandoned ruins）
Metal Floor A (Factory, Rust)|metal bedA（workshop・サビ）
Interior Floor B (Artery)|Built-in bedB（artery）
Bumpy Tile A|BrailleブロックA
Bumpy Tile B|BrailleブロックB
Bumpy Tile C|BrailleブロックC
