Transparent|transparent
Neon Shop Sign (Weapon)|ネオンKanban（weapons house）
Neon Shop Sign (Armor)|ネオンKanban（armor house）
Neon Shop Sign (Item)|ネオンKanban（アイテムRoom）
Neon Shop Sign (Pharmacy)|ネオンKanban（薬屋）
Neon Shop Sign (Cafe)|ネオンKanban（wine shop）
Neon Shop Sign (Inn)|ネオンKanban（Stay room）
Neon Shop Sign (Market)|ネオンKanban（マーケット）
Metal Shop Sign (Weapon)|Metal signage（weapons house）
Metal Shop Sign (Armor)|Metal signage（armor house）
Metal Shop Sign (Item)|Metal signage（アイテムRoom）
Metal Shop Sign (Pharmacy)|Metal signage（薬屋）
Metal Shop Sign (Cafe)|Metal signage（wine shop）
Metal Shop Sign (Inn)|Metal signage（Stay room）
Metal Shop Sign (Firearm)|Metal signage（gun house）
Metal Shop Sign (Blank)|Metal signage（landless）
Asphalt Bridge (V)|アスファルトのbridge（Qi）
Asphalt Bridge (H)|アスファルトのbridge（horizontal）
Stone Bridge (V)|stoneのbridge（Qi）
Stone Bridge (H)|stoneのbridge（horizontal）
Metal Bridge A (V)|MetalのbridgeA（Qi）
Metal Bridge A (H)|MetalのbridgeA（horizontal）
Metal Bridge B (V)|MetalのbridgeB（Qi）
Metal Bridge B (H)|MetalのbridgeB（horizontal）
Bridge Spar A (Asphalt, Center A)|bridgeげたA（アスファルト・centralA）
Bridge Spar A (Asphalt, Left)|bridgeげたA（アスファルト・Left）
Bridge Spar A (Asphalt, Center B)|bridgeげたA（アスファルト・centralB）
Bridge Spar A (Asphalt, Right)|bridgeげたA（アスファルト・right）
Bridge Spar B (Metal, Center A)|bridgeげたB（Metal・centralA）
Bridge Spar B (Metal, Left)|bridgeげたB（Metal・Left）
Bridge Spar B (Metal, Center B)|bridgeげたB（Metal・centralB）
Bridge Spar B (Metal, Right)|bridgeげたB（Metal・right）
White Line|white line
White Line|white line
White Line|white line
White Line|white line
White Line|white line
Yellow & Black Line|yellow and black line
Yellow & Black Line|yellow and black line
Yellow & Black Line|yellow and black line
White Line|white line
Traffic Lights (Car)|signal machine（vehicle）
Traffic Lights (Pedestrian)|signal machine（walker）
Entrance A|EntranceA
White Line (Crosswalk)|white line（crosswalk）
Yellow & Black Line|yellow and black line
Traffic Cone|pass onlyめコーン
Yellow & Black Line|yellow and black line
White Line|white line
Traffic Lights (Car)|signal machine（vehicle）
Traffic Lights (Walker)|signal machine（walker）
Entrance B|EntranceB
White Line (Crosswalk)|white line（crosswalk）
Yellow & Black Line|yellow and black line
Yellow & Black Line|yellow and black line
Yellow & Black Line|yellow and black line
Window A|瓓A
Window B|瓓B
Window C|瓓C
Window D|瓓D
Window E|瓓E
Window F|瓓F
Window G|瓓G
Window H|瓓H
Midsize Window A|Medium sizeA
Midsize Window B|Medium sizeB
Midsize Window C|Medium sizeC
Midsize Window D|Medium sizeD
Midsize Window E|Medium sizeE
Midsize Window F|Medium sizeF
Midsize Window G|Medium sizeG
Midsize Window H|Medium sizeH
Midsize Window A|Medium sizeA
Midsize Window B|Medium sizeB
Midsize Window C|Medium sizeC
Midsize Window D|Medium sizeD
Midsize Window E|Medium sizeE
Midsize Window F|Medium sizeF
Midsize Window G|Medium sizeG
Midsize Window H|Medium sizeH
Neon Shop Sign (V)|ネオンKanban（Qi）
Neon Shop Sign (V)|ネオンKanban（Qi）
Neon Shop Sign (V)|ネオンKanban（Qi）
Neon Shop Sign (H)|ネオンKanban（horizontal）
Neon Shop Sign (H)|ネオンKanban（horizontal）
Street Light A|street lampA
Street Light B|street lampB
Stained Glass Window|ステンドグラス
Neon Shop Sign (V)|ネオンKanban（Qi）
Neon Shop Sign (V)|ネオンKanban（Qi）
Neon Shop Sign (V)|ネオンKanban（Qi）
Neon Shop Sign (H)|ネオンKanban（horizontal）
Neon Shop Sign (H)|ネオンKanban（horizontal）
Street Light A|street lampA
Street Light B|street lampB
Stained Glass Window|ステンドグラス
Neon Shop Sign (V)|ネオンKanban（Qi）
Neon Shop Sign (V)|ネオンKanban（Qi）
Neon Shop Sign (V)|ネオンKanban（Qi）
Neon Shop Sign (H)|ネオンKanban（horizontal）
Neon Shop Sign (H)|ネオンKanban（horizontal）
Stacked Crates|Accumulateまれたwooden box
Shipping Container|コンテナ
Stacked Cardboard|Accumulateまれたダンボール
Chimney A|fumigationA
Chimney B|fumigationB
Chimney C|fumigationC
Exhaust Port Wall|Wall exhaust vent
Roof Window|roof root
Stacked Crates|Accumulateまれたwooden box
Shipping Container|コンテナ
Stacked Cardboard Boxes|Accumulateまれたダンボール
Wall Poster|SheetりPaper
Signboard A|KanbanA
Signboard C|KanbanC
Digital Signage A|electronic signageA
Digital Signage C|electronic signageC
Neon Shop Sign (CASINO)|ネオンKanban（カジノ)
Neon Shop Sign (CASINO)|ネオンKanban（カジノ)
Small Crane|smallクレーン
Poster|ポスター
Signboard B|KanbanB
Digital Signage B|electronic signageB
Digital Signage B|electronic signageB
Digital Signage C|electronic signageC
Iron Materials|Iron materials
